"","signature","repository","script","text-height","text-width","text-src","illustrations","date_min","date_max","leaf-height","leaf-width","leaf-src","number-lines","material","physical-type","country","region","columns"
"287","Schwaz, Franziskanerkloster,","Schwaz, Franziskanerkloster",NA,NA,NA,NA,0,1300,1325,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","Berlin, Staatsbibliothek, germ. fol. 923, 41","Berlin, Staatsbibliothek",NA,NA,NA,NA,0,1300,1400,NA,NA,NA,NA,"parchment","fragment","Germany","Bayern",NA
"289","Linz, Landesarchiv, Sch. 3II/4e","Linz, Landesarchiv",NA,NA,NA,NA,0,1300,1325,NA,NA,NA,51,"parchment","fragment",NA,NA,3
"290","Brussels, Koninklijke Bibliotheek, IV 636, 4","Brussels, Koninklijke Bibliotheek","textualis",NA,NA,NA,0,1350,1400,"292","45","current",37,"parchment","fragment",NA,NA,2
"291","Munich, Staatsbibliothek, cgm. 5249 / 3e","Munich, Staatsbibliothek","cursive",175,105,"original",0,1300,1400,NA,NA,NA,30,"parchment","fragment","Germany","Bayern",1
"292","Paris, Bibliothèque de l' Arsenal, 3483-94 [3490]","Paris, Bibliothèque de l' Arsenal",NA,NA,NA,NA,0,1400,1500,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"293","St Pölten, Landesarchiv, 821","St Pölten, Landesarchiv","textualis",263,170,"original",0,1340,1370,"330","245","current",45,"parchment","fragment",NA,NA,1
"294","Edingen (Enghien), Arenberg archief, -","Edingen (Enghien), Arenberg archief",NA,200,150,"original",0,1290,1310,"262","185","current",46,NA,"fragment",NA,NA,3
"295","Oxford, Bodleian Library, Rawlinson D. 899","Oxford, Bodleian Library",NA,NA,NA,NA,0,1240,1260,"335","240","current",43,"parchment","codex","France","Paris",2
"296","Udine, Archivio di Stato, not. ant., busta 4900","Udine, Archivio di Stato","textualis",NA,NA,NA,0,1225,1230,"280","230","current",NA,"parchment","fragment",NA,NA,NA
"297","Vienna, Österreichische Nationalbibliothek, Cod. Vind. 2707","Vienna, Österreichische Nationalbibliothek","textualis",178,114,"original",0,1300,1325,"230","155","current",38,"parchment","codex","Germany","Alsace",2
"298","Kassel, Landesbibliothek, 2o Ms philol. 28/3","Kassel, Landesbibliothek",NA,NA,NA,NA,0,1300,1400,"190","145","current",NA,"parchment","fragment",NA,NA,NA
"299","Paris, Bibliothèque Nationale de France, fr. 339","Paris, Bibliothèque Nationale de France","textualis",292,208,"original",120,1250,1275,"345","243","current",59,"parchment","codex","France","Paris",2
"300","Munich, Staatsbibliothek, cgm. 247","Munich, Staatsbibliothek",NA,NA,NA,NA,0,1490,1510,"308","217","current",NA,"paper","codex",NA,NA,NA
"301","Berlin, Staatsbibliothek, germ. fol. 923, 27a/c","Berlin, Staatsbibliothek","textualis",NA,NA,NA,0,1340,1360,"225","180","current",57,"parchment","fragment",NA,NA,2
"302","St Petersburg, National Library, fr.F.v.xii.2","St Petersburg, National Library",NA,NA,NA,NA,0,1390,1410,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"303","Paris, Bibliothèque Nationale de France, fr. 24400","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1500,1600,"265","205","current",NA,"paper","codex",NA,NA,NA
"304","Stockholm, Kungliga Biblioteket, K 4","Stockholm, Kungliga Biblioteket",NA,NA,NA,NA,0,1450,1500,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"305","New York, Public Library, Western 24","New York, Public Library","cursive",NA,NA,NA,0,NA,NA,NA,NA,NA,30,"paper","codex",NA,NA,2
"306","Florence, Biblioteca Riccardiana, Ricc. 2971","Florence, Biblioteca Riccardiana",NA,NA,NA,NA,0,1450,1500,"220","150","current",NA,"paper","codex","Italy","Emilia-Veneto",NA
"307","Paris, Bibliothèque Nationale de France, fr. 12573","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,78,1280,1310,"280","225","current",41,"parchment","codex","Southern Netherlands","Arras",2
"308","Hamburg, Antiquariat Günther,","Hamburg, Antiquariat Günther",NA,NA,NA,NA,1,1434,1454,"98","99","current",NA,"parchment","fragment","France","Paris",NA
"309","Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 404.9 (3) Novi","Wolfenbüttel, Herzog August Bibliothek",NA,228,180,"original",0,1300,1325,"297","215","current",40,"parchment","fragment",NA,NA,2
"310","Aberystwyth, National Library of Wales, 529","Aberystwyth, National Library of Wales",NA,NA,NA,NA,0,1500,1525,"307","207","current",NA,"paper","codex",NA,NA,NA
"311","London, Lambeth Palace Library, 491 B","London, Lambeth Palace Library","cursive",NA,NA,NA,0,1425,1450,"227","145","current",34,"paper","codex","England","South-East Midlands",1
"312","Cologne, Stadthistorisches Archiv, cod. W f. 317*","Cologne, Stadthistorisches Archiv","textualis",247,165,"original",0,1260,1300,"348","245","current",56,"parchment","fragment","Southern Netherlands","Mechelen",3
"313","Paris, Bibliothèque Mazarine, 2618","Paris, Bibliothèque Mazarine",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"fragment",NA,NA,NA
"314","London, British Library, Stowe 992 (RIA D IV 2)","London, British Library",NA,NA,NA,NA,0,1400,1500,NA,NA,NA,NA,"parchment","codex","Ireland","Monastery of Cill Chormaic in Offaly",2
"315","Florence, Biblioteca Laurenziana, Pluteus 78,23","Florence, Biblioteca Laurenziana","cursive",NA,NA,NA,0,1400,1450,NA,NA,NA,43,"paper","codex",NA,NA,2
"316","New Haven, Beinecke Library, Yale 227 (ex Phillipps 1045)","New Haven, Beinecke Library","textualis",305,206,"original",185,1357,1357,"423","300","current",48,"parchment","codex","France","Hainault",3
"317","Stockholm, Kungliga Biblioteket, Ralamb fol. Nr. 25","Stockholm, Kungliga Biblioteket",NA,NA,NA,NA,0,1600,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","Antwerp, Rijksarchief, Sint-Catharinakapittel en Sint-Catharinakerk Hoogstraten, MS 2","Antwerp, Rijksarchief, Sint-Catharinakapittel en Sint-Catharinakerk Hoogstraten","textualis",NA,NA,NA,0,1300,1350,"255","23","current",40,"parchment","fragment",NA,NA,2
"319","Heidelberg, Universitätsbibliothek, Cpg 364","Heidelberg, Universitätsbibliothek","textualis",350,210,"original",1,1300,1325,"456","305","current",56,"parchment","codex","Germany","Lohengrin",2
"320","Paris, Bibliothèque Nationale de France, fr. 2168","Paris, Bibliothèque Nationale de France","textualis",NA,NA,NA,0,1250,1270,NA,NA,NA,20,"parchment","codex",NA,NA,1
"321","Prague, Strahovská Knihovna, XXIV.C.4 (ex Fragm. germ. 4)","Prague, Strahovská Knihovna",NA,140,100,"original",0,1300,1400,"160","110","current",31,"parchment","fragment",NA,NA,2
"322","Dijon, Bibliothèque Municipale, 527","Dijon, Bibliothèque Municipale","hybrida",NA,NA,NA,0,1450,1460,NA,NA,NA,60,"parchment","codex","France","Angers",2
"323","London, British Library, Add. 36673","London, British Library",NA,NA,NA,NA,0,1500,1600,"420","275","current",44,"paper","codex",NA,NA,1
"324","Paris, Archives de Trémoïlle,","Paris, Archives de Trémoïlle",NA,NA,NA,NA,0,1300,1400,"315","220","current",40,"parchment","fragment",NA,NA,2
"325","Turin, Accademia delle Scienze,","Turin, Accademia delle Scienze",NA,NA,NA,NA,0,1240,1260,"230","160","current",64,"parchment","fragment",NA,NA,2
"326","Oxford, Bodleian Library, Germ. b.3, f. 9-10","Oxford, Bodleian Library",NA,63,80,"original",0,1215,1235,"71","101","original",13,"parchment","fragment",NA,NA,1
"327","Dublin, Franciscan Library, 10, frm. 5, 6","Dublin, Franciscan Library",NA,NA,NA,NA,0,1400,1500,NA,NA,NA,NA,"parchment","fragment",NA,NA,1
"328","Paris, Bibliothèque Nationale de France, fr. 350","Paris, Bibliothèque Nationale de France",NA,345,233,"original",100,1290,1310,"390","290","current",55,"parchment","codex","Southern Netherlands","Arras",2
"329","Innsbruck, Landesmuseum Ferdinandeum, Cod. FB 1519/III","Innsbruck, Landesmuseum Ferdinandeum",NA,185,115,"original",0,1266,1300,"220","156","original",40,NA,"fragment",NA,NA,2
"330","Vienna, Institut fur Österreichische Geschichtsforschung,","Vienna, Institut fur Österreichische Geschichtsforschung",NA,NA,NA,NA,0,1300,1400,NA,NA,NA,NA,"parchment","fragment",NA,NA,NA
"331","Berlin, Staatsbibliothek, germ. fol. 734, 4","Berlin, Staatsbibliothek",NA,200,130,"original",0,1240,1260,"227","170","current",42,"parchment","fragment",NA,NA,2
"332","Münster, Landesmuseum für Kunst und Kulturgeschichte, 459","Münster, Landesmuseum für Kunst und Kulturgeschichte",NA,210,142,"original",0,1340,1360,"248","180","current",34,"parchment","fragment",NA,NA,2
"333","London, British Library, Cotton Nero A.x (Art. 3)","London, British Library","textualis",137,91,"original",12,1432,1397,"170","125","current",36,"parchment","codex","England","Lancashire",1
"334","Sigmaringen, Fürstliche Hohenzollernsche Hofbibliothek, Cod. 358","Sigmaringen, Fürstliche Hohenzollernsche Hofbibliothek",NA,NA,NA,NA,0,1550,1550,NA,NA,NA,NA,"paper","fragment","Germany","bairisch",NA
"335","Berlin, Staatsbibliothek, germ. fol. 734, 1","Berlin, Staatsbibliothek","textualis",220,115,"original",0,1240,1260,"250","145","current",50,"parchment","fragment",NA,NA,2
"336","Graz, Landesarchiv, FG 1","Graz, Landesarchiv","textualis",190,135,"original",0,1290,1310,"280","185","original",27,"parchment","fragment",NA,NA,2
"337","Paris, Bibliothèque Nationale de France, fr. 335 - 336 [fr. 336]","Paris, Bibliothèque Nationale de France","cursive",NA,NA,NA,0,1400,1400,"370","260","current",44,"parchment","codex","France","Paris",2
"338","Paris, Bibliothèque Nationale de France, fr. 423","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1200,1300,"353","250","current",NA,"parchment","codex","France","South-West France",NA
"339","Cambridge (Mass.), Houghton Library, Ger. 80","Cambridge (Mass.), Houghton Library","textualis",172,130,"original",0,1300,1350,"210","150","current",30,"parchment","fragment",NA,NA,2
"340","Madrid, Biblioteca Nacional, 485 (ex B 14)","Madrid, Biblioteca Nacional","cursive",NA,NA,NA,0,1400,1500,"347","250","current",28,"paper","codex",NA,NA,2
"341","Aberystwyth, National Library of Wales, 445-D","Aberystwyth, National Library of Wales","cursive",NA,NA,NA,0,1475,1500,"280","203","current",36,"paper","codex",NA,NA,1
"342","London, British Library, Harley 4419","London, British Library","textualis",NA,NA,NA,1,1350,1400,"335","227","current",45,"parchment","codex","France","0, South-France",2
"343","Reykjavik, Árni Magnússon-institutet, AM 598, 4o I Perg. frag. beta","Reykjavik, Árni Magnússon-institutet",NA,NA,NA,NA,0,1390,1410,NA,NA,NA,NA,"parchment","fragment",NA,NA,NA
"344","Venice, Archivio di Stato, manoscritti, busta 137","Venice, Archivio di Stato",NA,NA,NA,NA,0,1400,1500,"218","143","current",NA,NA,NA,NA,NA,NA
"345","Paris, Bibliothèque Nationale de France, fr. 113 - 116 [fr. 113]","Paris, Bibliothèque Nationale de France","cursive",NA,NA,NA,0,1460,1480,"488","353","current",60,"parchment","codex","France","Central France",2
"346","Florence, Biblioteca Laurenziana, Plut. 43, 10","Florence, Biblioteca Laurenziana",NA,NA,NA,NA,0,1447,1447,"200","280","current",NA,"paper","codex","Italy","Florence",2
"347","Paris, Bibliothèque de l' Arsenal, 3482","Paris, Bibliothèque de l' Arsenal",NA,NA,NA,NA,136,1325,1340,"396","291","current",50,"parchment","codex","France","Paris",3
"348","Kopenhagen, Kongelige Bibliotek, Ny kgl. saml. 1800, 4o","Kopenhagen, Kongelige Bibliotek",NA,NA,NA,NA,0,1700,1800,NA,NA,NA,NA,"paper","codex",NA,NA,NA
"349","Vatican, Biblioteca Apostolica Vaticana, Vat. lat. 14740","Vatican, Biblioteca Apostolica Vaticana",NA,NA,NA,NA,0,1300,1300,"249","184","current",NA,"parchment","fragment",NA,NA,2
"350","Munich, Staatsbibliothek, cgm. 5249 / 3a","Munich, Staatsbibliothek","textualis",238,155,"original",0,1275,1300,"310","195","original",48,"parchment","fragment",NA,NA,2
"351","Bern, Bibliothèque Municipale, A95. 9","Bern, Bibliothèque Municipale",NA,NA,NA,NA,0,1290,1310,"295","220","current",39,NA,"fragment",NA,NA,2
"352","Paris, Bibliothèque Nationale de France, fr. 1430","Paris, Bibliothèque Nationale de France","textualis",190,146,"original",0,1215,1225,"274","198","current",30,"parchment","codex","France","Champagne",2
"353","Reykjavik, Landsbókasafn Íslands, Lbs 1230 III","Reykjavik, Landsbókasafn Íslands",NA,NA,NA,NA,0,1490,1510,NA,NA,NA,NA,"parchment","fragment",NA,NA,NA
"354","Leipzig, Stadtbibliothek, Rep. II 21 a + aa","Leipzig, Stadtbibliothek",NA,250,195,"original",0,1350,1400,"330","250","current",41,"parchment","fragment",NA,NA,2
"355","Augsburg, Universitätsbibliothek, Cod. III.1.4o 8","Augsburg, Universitätsbibliothek",NA,170,60,"original",0,1290,1310,"210","60","original",48,NA,"fragment",NA,NA,2
"356","Paris, Bibliothèque de l' Arsenal, 3483 - 3494 [3483]","Paris, Bibliothèque de l' Arsenal",NA,NA,NA,NA,0,1400,1500,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"357","Vienna, Österreichische Nationalbibliothek, 2599","Vienna, Österreichische Nationalbibliothek","textualis",NA,NA,NA,18,1325,1350,"290","200","current",40,"parchment","codex","France","Paris",2
"358","Krakau, Biblioteka Jagiellonska, Berol. mgq 1418","Krakau, Biblioteka Jagiellonska",NA,195,140,"original",0,1220,1240,"225","160","current",38,NA,"fragment",NA,NA,2
"359","Paris, Bibliothèque Nationale de France, fr. 358-363 [361]","Paris, Bibliothèque Nationale de France","hybrida",NA,NA,NA,1,1460,1480,"380","275","current",31,"parchment","codex","Southern Netherlands","Bruges",2
"360","Borken, Stadtarchiv, -","Borken, Stadtarchiv","textualis",205,142,"original",0,1340,1360,"248","180","original",34,"parchment","fragment",NA,NA,2
"361","Munich, Staatsbibliothek, cgm. 18","Munich, Staatsbibliothek","textualis",250,160,"original",2,1275,1300,"315","220","current",42,"parchment","codex","Germany","Bayern",2
"362","Berkeley, UCB, 107","Berkeley, UCB","textualis",NA,NA,NA,0,1240,1260,NA,NA,NA,44,"parchment","codex","France","Paris",2
"363","Kremsmünster, Stiftsbibliothek, Fragm. VI/275","Kremsmünster, Stiftsbibliothek",NA,175,120,"original",0,1210,1220,"225","150","original",36,"parchment","fragment",NA,NA,2
"364","Reykjavik, Landsbókasafn Íslands, JS 8 fol.","Reykjavik, Landsbókasafn Íslands","other",NA,NA,NA,0,1729,1729,NA,NA,NA,NA,"paper","codex",NA,NA,1
"365","Göttingen, Staatsbibliothek, Wilhelm Muller I, 2","Göttingen, Staatsbibliothek",NA,180,120,"original",0,1275,1300,"230","165","current",41,"parchment","fragment",NA,NA,2
"366","Geneva, Bodmer, 147 (ex Phillipps 1046)","Geneva, Bodmer","textualis",280,190,"original",167,1280,1300,"348","259","current",49,"parchment","codex",NA,NA,2
"367","Paris, Bibliothèque Nationale de France, fr. 24301","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"368","Oxford, Bodleian Library, Douce 215","Oxford, Bodleian Library","textualis",NA,NA,NA,0,1300,1320,NA,NA,NA,44,"parchment","codex","Southern Netherlands","Flanders",2
"369","The Hague, Koninklijke Bibliotheek, 131 C 30","The Hague, Koninklijke Bibliotheek","textualis",236,143,"original",0,1250,1300,"296","213","current",40,"parchment","fragment",NA,NA,2
"370","Madrid, Biblioteca Nacional, Res. 48 (canconer dels comtes d'urgell)","Madrid, Biblioteca Nacional","cursive",NA,NA,NA,0,1425,1475,"250","170","current",NA,NA,"codex",NA,NA,NA
"371","Budapest, , Fragm. K. 549","Budapest,",NA,140,110,"original",0,1200,1250,"180","36","original",26,NA,"fragment",NA,NA,2
"372","Paris, Bibliothèque de l' Arsenal, 3325","Paris, Bibliothèque de l' Arsenal",NA,NA,NA,NA,30,1240,1260,"335","240","current",49,"parchment","codex",NA,NA,2
"373","Rein bei Graz, Zisterzienserstift, rom. cod. 205","Rein bei Graz, Zisterzienserstift","textualis",247,180,"original",0,1250,1300,"295","214","current",60,"parchment","fragment",NA,NA,3
"374","London, British Library, Add. 38117","London, British Library","textualis",226,144,"original",71,1300,1325,"298","216","current",37,"parchment","codex","France","Arras",2
"375","Munich, Staatsbibliothek, Fernberger-Dietrichsteinsche hs.","Munich, Staatsbibliothek",NA,280,210,NA,0,NA,NA,"295","220","current",45,"parchment","codex",NA,NA,2
"376","Berlin, Staatsbibliothek, germ. fol. 734, 5","Berlin, Staatsbibliothek",NA,NA,NA,NA,0,1300,1400,NA,NA,NA,NA,"parchment","fragment","Germany","Bayern",NA
"377","Munich, Staatsbibliothek, Cgm 4871","Munich, Staatsbibliothek",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"paper","codex",NA,NA,NA
"378","Linz, Landesbibliothek, 599","Linz, Landesbibliothek",NA,112,60,"original",0,1225,1250,"164","97","current",24,NA,"fragment",NA,NA,1
"379","Salamanca, Biblioteca Universitaria, 1877 [ex- Madrid, Bib. de Palacio II-794]","Salamanca, Biblioteca Universitaria",NA,NA,NA,NA,0,1469,1470,"240","140","current",NA,NA,"fragment",NA,NA,NA
"380","Paris, Bibliothèque de l' Arsenal, 3483-94 [3493]","Paris, Bibliothèque de l' Arsenal",NA,NA,NA,NA,0,1400,1500,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"381","Brussels, Koninklijke Bibliotheek, 9086-9087 [9086]","Brussels, Koninklijke Bibliotheek",NA,NA,NA,NA,0,1475,1500,"398","0","current",NA,"paper","codex",NA,NA,NA
"382","Munich, Private Collection,","Munich, Private Collection",NA,NA,NA,NA,0,1200,1300,NA,NA,NA,41,NA,"fragment",NA,NA,2
"383","Reykjavik, Landsbókasafn Íslands, Lbs 1637, 4o","Reykjavik, Landsbókasafn Íslands",NA,NA,NA,NA,0,1700,1800,NA,NA,NA,NA,"paper","codex",NA,NA,NA
"384","London, British Library, Cotton Caligula A II","London, British Library","cursive",170,120,"original",0,1446,1460,"210","140","current",38,"paper","codex",NA,NA,2
"385","Aberystwyth, National Library of Wales, NLW Ia (formerly  Llanstephan 201)","Aberystwyth, National Library of Wales",NA,NA,NA,NA,0,1375,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","Modena, Archivio di Stato, fragments","Modena, Archivio di Stato",NA,NA,NA,NA,0,1300,1400,"460","292","current",62,"parchment","fragment",NA,NA,2
"387","Carlisle, Cathedral Library, -","Carlisle, Cathedral Library",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"fragment",NA,NA,NA
"388","Paris, Bibliothèque Nationale de France, nouv. acq. fr. 5237","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1275,1300,"298","210","current",38,"parchment","fragment",NA,NA,3
"389","Florence, Biblioteca Nazionale, Magliabechiano II, II 68 (fol. 182r)","Florence, Biblioteca Nazionale",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"fragment",NA,NA,NA
"390","Nimes, Archives départementales du Gard, F (001) 083, pièce 4","Nimes, Archives départementales du Gard","textualis",NA,NA,NA,0,1200,1300,"324","220","current",39,"parchment","fragment",NA,NA,2
"391","Stockholm, Kungliga Biblioteket, SKB 6, 4o","Stockholm, Kungliga Biblioteket",NA,NA,NA,NA,0,1390,1410,NA,NA,NA,NA,"parchment","fragment",NA,NA,NA
"392","Aberystwyth, National Library of Wales, Peniarth 120","Aberystwyth, National Library of Wales",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","London, British Library, Add. 10292-10294 [Add. 10293]","London, British Library","textualis",295,220,"original",436,NA,NA,"395","290","current",49,"parchment","codex",NA,NA,3
"394","Dresden, Sächsische Landesbibliothek, M 66","Dresden, Sächsische Landesbibliothek","cursive",185,120,"original",46,1435,1455,"280","200","current",NA,"paper","codex","Germany","Hagenau, Alsace",1
"395","Reykjavik, Landsbókasafn Íslands, Lbs 221 fol.","Reykjavik, Landsbókasafn Íslands",NA,NA,NA,NA,0,1800,1900,NA,NA,NA,NA,"paper","codex",NA,NA,NA
"396","Paris, Bibliothèque Nationale de France, allem. 115","Paris, Bibliothèque Nationale de France","cursive - textualis",NA,NA,NA,1,1400,1450,"280","200","current",NA,"paper","codex","France","Mittelrhein",1
"397","Chicago, University Library, 712","Chicago, University Library",NA,NA,NA,NA,0,1400,1500,NA,NA,NA,49,NA,"fragment",NA,NA,2
"398","Milan, Biblioteca Ambrosiana, I.79 sup","Milan, Biblioteca Ambrosiana",NA,NA,NA,NA,0,1380,1380,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"399","Rostock, Universitätsbibliothek, philol. 81","Rostock, Universitätsbibliothek","cursive",NA,NA,NA,0,1476,1478,"310","210","current",NA,"paper","codex","Germany","Schwaben",2
"400","London, British Library, Add. 11619","London, British Library",NA,NA,NA,NA,0,1300,1400,NA,NA,NA,NA,"parchment","codex",NA,NA,NA
"401","Berlin, Staatsbibliothek, germ. fol. 923, 35","Berlin, Staatsbibliothek","textualis",150,110,"original",0,1250,1300,"170","130","current",40,"parchment","fragment","Germany","Erfurt region",2
"402","Munich, Staatsbibliothek, cgm. 5249 / 28","Munich, Staatsbibliothek","textualis",150,90,"original",0,1275,1300,"170","120","current",28,"parchment","fragment",NA,NA,1
"403","Brescia, Biblioteca Queriniana,","Brescia, Biblioteca Queriniana","textualis",NA,NA,NA,0,1250,1300,"137","101","current",11,"parchment","fragment","Italy","North-Italy",2
"404","Sondershausen, Schlossmuseum, Germ. lit. 2 (former Br. 3)","Sondershausen, Schlossmuseum","textualis",330,245,"original",0,1390,1410,"470","350","current",36,"parchment","fragment",NA,NA,2
"405","Paris, Bibliothèque Nationale de France, fr. 1593","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"parchment","codex",NA,NA,NA
"406","Düsseldorf, Landes- und Stadtbibliothek, F 25","Düsseldorf, Landes- und Stadtbibliothek","textualis",230,160,"original",0,1340,1360,"310","220","current",42,"parchment","fragment",NA,NA,2
"407","Oxford, Bodleian Library, 21835 (Douce 261)","Oxford, Bodleian Library","cursive",150,75,"original",20,1564,1564,"185","135","current",32,"paper","codex",NA,NA,1
"408","Turin, Biblioteca Nazionale, R. 1664 (L.III.31)","Turin, Biblioteca Nazionale","cursive",NA,NA,NA,0,1300,1400,"220","165","current",NA,"parchment","codex",NA,NA,1
"409","Paris, Bibliothèque Nationale de France, fr. 355","Paris, Bibliothèque Nationale de France","textualis",350,212,"original",1,1300,1400,"480","280","current",60,"parchment","codex",NA,NA,3
"410","Hohenlohe-Kirchberg, Fürstlichen Bibliothek,","Hohenlohe-Kirchberg, Fürstlichen Bibliothek","textualis",NA,NA,NA,0,1467,1467,"238","175","current",35,"paper","fragment",NA,NA,1
"411","Paris, Bibliothèque Nationale de France, n.a.fr. 6639","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1300,1400,"290","200","current",NA,"paper","codex",NA,NA,NA
"412","Geneva, Bodmer, 148 (ex-Phillipps 3637)","Geneva, Bodmer","cursive",NA,NA,NA,26,1520,1529,"340","235","current",27,"paper","codex",NA,NA,1
"413","Paris, Bibliothèque Nationale de France, impr. 614-618 [impr. 616]","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1494,1494,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"414","Nürnberg, Germanisches Nationalmuseum, 24137","Nürnberg, Germanisches Nationalmuseum","textualis",145,90,"original",0,1240,1260,"185","120","original",46,"parchment","fragment","Germany","Bayern",2
"415","Tours, Bibliothèque Municipale, 942","Tours, Bibliothèque Municipale","textualis",140,60,"original",0,1190,1210,"165","108","current",34,"parchment","codex","France","West-France",1
"416","Barcelona, Biblioteca de Catalunya, 8 (Canconer Vega-Aguiló","Barcelona, Biblioteca de Catalunya",NA,NA,NA,NA,0,1417,1467,"278","207","current",NA,NA,"codex",NA,NA,NA
"417","Lincoln, Cathedral Library, 91 (Thornton MS) / A.5.2","Lincoln, Cathedral Library","cursive",230,120,"original",0,1430,1450,"291","210","current",48,"paper","codex","England","Yorkshire",2
"418","Paris, Bibliothèque Nationale de France, fr. 770","Paris, Bibliothèque Nationale de France","textualis",NA,NA,NA,140,1280,1290,"318","230","current",48,"parchment","codex","Southern Netherlands","Douai",3
"419","Klagenfurt, Universitätsbibliothek, Perg.-Hs. 63","Klagenfurt, Universitätsbibliothek",NA,200,135,"original",0,1300,1325,"270","185","current",34,"parchment","fragment",NA,NA,2
"420","Vienna, Österreichische Nationalbibliothek, 15478 (Linhart Scheubels Heldenbuch)","Vienna, Österreichische Nationalbibliothek",NA,160,110,"original",0,1480,1490,"205","145","current",NA,"paper","codex","Germany","Nuremberg",NA
"421","Vatican, Biblioteca Apostolica Vaticana, Barb. lat. 3536","Vatican, Biblioteca Apostolica Vaticana",NA,NA,NA,NA,0,1300,1400,NA,NA,NA,NA,NA,"fragment",NA,NA,2
"422","Paris, Bibliothèque de l' Arsenal, 3349","Paris, Bibliothèque de l' Arsenal",NA,NA,NA,NA,0,1467,1467,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Florence, Biblioteca Nazionale, Pal. 556","Florence, Biblioteca Nazionale","hybrida",NA,NA,NA,289,1446,1446,"276","201","current",NA,"parchment","codex","Italy","Cremona-Mantua",1
"424","Paris, Bibliothèque Nationale de France, nouv. acq. fr. 1104","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"parchment","codex",NA,NA,NA
"425","Wolfenbüttel, Herzog August Bibliothek, 404. 9 (9) Novi","Wolfenbüttel, Herzog August Bibliothek",NA,115,75,"original",0,1290,1310,"135","95","original",44,"parchment","fragment",NA,NA,2
"426","Kopenhagen, Kongelige Bibliotek, Thott 777","Kopenhagen, Kongelige Bibliotek",NA,NA,NA,NA,0,1700,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","Paris, Bibliothèque Nationale de France, fr. 761","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1300,1400,NA,NA,NA,NA,NA,NA,"France","Paris",NA
"428","Florence, Biblioteca Laurenziana, Tempi 2","Florence, Biblioteca Laurenziana",NA,NA,NA,NA,0,1300,1500,NA,NA,NA,NA,NA,"fragment",NA,NA,NA
"429","Oxford, Jesus College, 111 [Red Book of Hergest]","Oxford, Jesus College","textualis",NA,NA,NA,0,1382,1400,"340","210","current",NA,"parchment","codex",NA,NA,2
"430","Krakau, Biblioteka Jagiellonska, Gall. Fol. 217","Krakau, Biblioteka Jagiellonska","textualis",NA,NA,NA,0,1200,1300,"0","275","current",NA,"parchment","fragment",NA,NA,3
"431","Vatican, Biblioteca Apostolica Vaticana, Barberini XLV, 47","Vatican, Biblioteca Apostolica Vaticana",NA,NA,NA,NA,0,1290,1310,"176","23","current",NA,"parchment","fragment",NA,NA,NA
"432","London, British Library, Royal 19 C XIII","London, British Library","textualis",NA,NA,NA,1,1275,1300,"298","217","current",48,"parchment","codex",NA,NA,2
"433","Paris, Bibliothèque Nationale de France, fr. 74","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,0,1450,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","Heidelberg, Private Collection, -","Heidelberg, Private Collection",NA,60,0,"original",0,1275,1300,"112","108","original",13,NA,"fragment",NA,NA,2
"435","Vatican, Biblioteca Apostolica Vaticana, MS Barb. lat. 3536","Vatican, Biblioteca Apostolica Vaticana",NA,NA,NA,NA,0,13,13,NA,NA,NA,NA,NA,NA,"Italy","Northern Italy (Veneto)",NA
